provider_id,fraud_risk_score,risk_band
01006H,0.19456829691500208,LOW
01006P,0.23042600533720012,LOW
01006V,0.4002444146539013,LOW
01008A,0.18575811147549662,LOW
01008J,0.6333824190052763,LOW
01008R,0.10465866227411212,LOW
0100AA,0.09830139749869295,LOW
0100AJ,0.017265932150803864,LOW
0100AQ,0.016424170707709452,LOW
0100BB,0.11574159942176053,LOW
0100BK,0.04557386921266116,LOW
0100BR,0.026812759714919428,LOW
0100CC,0.037155611180170404,LOW
0100CM,0.007984799469492062,LOW
0100CS,0.022856945423043694,LOW
0100DD,0.015722408436388224,LOW
0100DN,0.5511953153754945,LOW
0100DT,0.1619023480170614,LOW
0100GG,0.015371883607548799,LOW
0100GP,0.05579994515305919,LOW
0100GU,0.3466276464869873,LOW
0100HH,0.22328714645277584,LOW
0100HQ,0.1446260155283725,LOW
0100HV,0.14600159190685574,LOW
0100JB,0.125193180595442,LOW
0100JK,0.08569556572858548,LOW
0100JS,0.04406060963812041,LOW
0100KC,0.015360638778297464,LOW
0100KM,0.07853228334675054,LOW
0100KT,0.4477425926219354,LOW
0100MD,0.36322114916905096,LOW
0100MN,0.03815182391250792,LOW
0100MU,0.08339151767209968,LOW
0100NG,0.037005559898017695,LOW
0100NP,0.13024205335652128,LOW
0100NV,0.23901895898064066,LOW
0100PH,0.5706864989509461,LOW
0100PQ,0.31278040276917113,LOW
0100QB,0.31033978503187,LOW
0100QJ,0.07972833400068043,LOW
0100QR,0.010246381154782614,LOW
0100RC,0.19277321929012245,LOW
0100RK,0.006631430763145572,LOW
0100RS,0.020527447124922184,LOW
0100SD,0.013060542158735413,LOW
0100SM,0.11772407720124947,LOW
0100ST,0.007225559474674256,LOW
0100TN,0.07936203318998498,LOW
0100TU,0.07725375857143718,LOW
0100UP,0.3390233522825954,LOW
0100UV,0.5445540797482714,LOW
0100VA,0.05058143832383483,LOW
0100VQ,0.21216913819355135,LOW
0100WB,0.030201442118724664,LOW
0100WR,0.07480338008479817,LOW
0100XC,0.022852341232589505,LOW
0100XS,0.020355843308027245,LOW
0100YD,0.12892929870272188,LOW
0100YT,0.25847182263069607,LOW
0100ZG,0.0835588847886974,LOW
0100ZU,0.11512877404614177,LOW
01016G,0.3712714614721294,LOW
01016U,0.13018671954350453,LOW
0101AV,0.4257317046203707,LOW
0101BA,0.09977043401852886,LOW
0101DC,0.04565287536644961,LOW
0101GD,0.2026762615198267,LOW
0101HG,0.3150867875399027,LOW
0101JA,0.6204644440697499,LOW
0101JJ,0.17092217581458266,LOW
0101KB,0.016927179799625235,LOW
0101KK,0.23229172289712768,LOW
0101MC,0.5179945859254661,LOW
0101MM,0.09896939254970853,LOW
0101ND,0.008045617381310396,LOW
0101NN,0.010994809245209677,LOW
0101QQ,0.23291811411049543,LOW
0101RJ,0.20871414060776733,LOW
0101RR,0.16319644531713798,LOW
0101SK,0.15464925035537413,LOW
0101SS,0.17000177854456575,LOW
0101TM,0.046542447397156676,LOW
0101UU,0.0707578832901952,LOW
0101VP,0.21413354102109888,LOW
0101WA,0.1148733064573717,LOW
0101WQ,0.26460821300149495,LOW
0101XB,0.07697324183859007,LOW
0101XR,0.366026111323194,LOW
